PreferredonlyoneIP,Preferred Hostname,Preferred Mac
10.152.27.154,ITHZTETANGLB02,00:94:A1:D6:4F:82
10.152.0.229,,44:22:7C:8B:F6:77
10.152.16.152,,CC:B1:82:CD:C9:FF
10.152.16.6,,00:E4:06:20:8B:F7
10.152.16.14,,44:22:7C:F8:92:17
10.152.3.235,,3C:A3:7E:B7:2A:73
10.59.254.119,ITHFZTTANGRCRTB1G,B4:96:91:A7:CF:FB
10.191.241.152,SMART3,00:14:4F:02:96:65
10.152.3.84,,AC:DC:CA:E3:2F:79
10.152.4.173,,FA:16:3E:2A:BC:41
10.152.4.177,,FA:16:3E:26:9D:FF
10.152.3.93,,AC:DC:CA:E3:47:85
10.152.0.210,,44:22:7C:29:EF:0C
10.152.27.136,ITHFZTTANGRUSSD0E,BC:16:95:14:8A:67
10.152.3.54,,AC:DC:CA:E3:3E:0D
10.152.3.86,,AC:DC:CA:E3:38:A0
10.152.27.138,ITHFZTTANGRUSSD0G,BC:16:95:14:93:1F
10.152.0.234,,E8:13:6E:5A:00:78
10.152.65.7,,F8:53:29:52:D9:54
10.119.107.49,ITHHWARI1VCL10,FA:16:3E:7A:63:8D
10.152.3.233,,14:AB:02:0D:27:E1
10.59.25.151,ITHFHWADVPLCN193,FA:16:3E:E6:01:9D
10.191.210.26,,
10.152.3.148,,AC:DC:CA:E3:39:6C
10.152.65.60,,FA:16:3E:E0:E6:9E
10.152.16.159,,CC:B1:82:CD:CA:61
